                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2298,                 1.5905,                 1.1979,                0.52305,                  0.375,                0.45256,                0.23895,                 1.9339,                 2.4908,                 1.7363,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.1855,                 1.3138,                 1.0505,                0.52305,                  0.375,                0.45256,                0.23895,                 1.9339,                 2.4908,                 1.7363,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.1879,                 1.2733,                 1.0891,                0.57842,                0.46875,                0.52673,                0.26325,                 1.8374,                 2.4243,                 1.6163,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.0935,                 1.2521,                 1.0793,                0.57842,                0.46875,                0.52673,                0.26325,                 1.8374,                 2.4243,                 1.6163,               0.001307,               0.001307,               0.001307
                     72,                 1.1786,                 1.3015,                 1.0277,                0.62763,                0.47412,                0.55546,                0.27356,                 1.7923,                 2.3456,                 1.6476,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.1143,                 1.3448,                 1.0971,                0.62763,                0.47412,                0.55546,                0.27356,                 1.7923,                 2.3456,                 1.6476,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.1063,                 1.3164,                 1.1341,                0.71643,                0.53125,                0.55309,                0.28585,                 1.7641,                   2.42,                 1.6626,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.2077,                 1.3869,                  1.272,                0.71643,                0.53125,                0.55309,                0.28585,                 1.7641,                   2.42,                 1.6626,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.0408,                 1.2024,                 1.0556,                 0.8035,                0.48438,                0.53917,                0.25819,                 1.8995,                 2.5285,                 1.8512,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.1101,                 1.1598,                 1.0094,                 0.8035,                0.48438,                0.53917,                0.25819,                 1.8995,                 2.5285,                 1.8512,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.2351,                 1.1663,                 1.0688,                0.62694,                0.52523,                0.51357,                0.24769,                 1.9228,                 2.5809,                 1.8747,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.0461,                 1.1374,                  1.064,                0.62694,                0.52523,                0.51357,                0.24769,                 1.9228,                 2.5809,                 1.8747,              0.0012278,              0.0012278,              0.0012278
                     80,                  1.142,                 1.2058,                 1.0911,                0.80989,                0.46602,                0.57092,                 0.2952,                 1.7895,                 2.5418,                 1.7485,              0.0012179,              0.0012179,              0.0012179
                     81,                0.94911,                 1.1254,                  1.063,                0.80989,                0.46602,                0.57092,                 0.2952,                 1.7895,                 2.5418,                 1.7485,               0.001208,               0.001208,               0.001208
                     82,                 1.1216,                 1.1229,                 1.0307,                0.75318,                0.52458,                0.58698,                0.29556,                 1.8305,                 2.5455,                 1.6701,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.1523,                 1.1777,                 1.0792,                0.75318,                0.52458,                0.58698,                0.29556,                 1.8305,                 2.5455,                 1.6701,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.0182,                 1.1667,                 1.0656,                0.61864,                0.53125,                 0.5482,                0.25894,                 1.8803,                 2.5937,                 1.7108,              0.0011783,              0.0011783,              0.0011783
                     85,                  1.056,                 1.1425,                0.99577,                0.61864,                0.53125,                 0.5482,                0.25894,                 1.8803,                 2.5937,                 1.7108,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.1379,                   1.18,                 1.0192,                0.45785,                0.51562,                 0.4656,                0.21943,                 1.9334,                 2.6639,                 1.6955,              0.0011585,              0.0011585,              0.0011585
                     87,                  1.029,                 1.0972,                 1.0502,                0.45785,                0.51562,                 0.4656,                0.21943,                 1.9334,                 2.6639,                 1.6955,              0.0011486,              0.0011486,              0.0011486
                     88,                  1.139,                 1.2406,                 1.0904,                0.58892,                0.53729,                0.52276,                0.24341,                 1.9654,                 2.3871,                  1.677,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.0596,                 1.1184,                  1.032,                0.58892,                0.53729,                0.52276,                0.24341,                 1.9654,                 2.3871,                  1.677,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.0878,                 1.2034,                 1.1279,                0.66836,                0.54688,                0.56841,                0.28017,                 1.9573,                 2.2222,                 1.6793,              0.0011189,              0.0011189,              0.0011189
                     91,                0.92477,                 1.1427,                  1.068,                0.66836,                0.54688,                0.56841,                0.28017,                 1.9573,                 2.2222,                 1.6793,               0.001109,               0.001109,               0.001109
                     92,                  1.071,                  1.191,                  1.089,                0.81711,                0.54688,                0.60782,                 0.3042,                 1.8968,                 1.9583,                 1.7433,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.1124,                 1.1327,                 1.1013,                0.81711,                0.54688,                0.60782,                 0.3042,                 1.8968,                 1.9583,                 1.7433,              0.0010892,              0.0010892,              0.0010892
                     94,                0.99705,                 1.1246,                 1.0529,                0.82946,                0.59375,                0.64166,                0.32068,                 1.8561,                 1.8963,                 1.7321,              0.0010793,              0.0010793,              0.0010793
                     95,                0.96396,                 1.0975,                0.98882,                0.82946,                0.59375,                0.64166,                0.32068,                 1.8561,                 1.8963,                 1.7321,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.0216,                 1.1748,                 1.0617,                0.79967,                0.56136,                0.62074,                0.33555,                 1.8476,                 1.9042,                  1.725,              0.0010595,              0.0010595,              0.0010595
                     97,                0.90303,                 1.0156,                 1.0821,                0.79967,                0.56136,                0.62074,                0.33555,                 1.8476,                 1.9042,                  1.725,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.1206,                 1.1405,                  1.096,                0.88088,                 0.4623,                0.58705,                 0.3164,                 1.9027,                 2.0885,                 1.7301,              0.0010397,              0.0010397,              0.0010397
                     99,                0.92052,                 1.0541,                 1.0483,                0.88088,                 0.4623,                0.58705,                 0.3164,                 1.9027,                 2.0885,                 1.7301,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.1191,                 1.1534,                 1.1124,                0.66912,                0.56883,                0.59613,                0.32388,                 1.8795,                 2.0325,                 1.7177,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.0295,                 1.0796,                 1.0525,                0.66912,                0.56883,                0.59613,                0.32388,                 1.8795,                 2.0325,                 1.7177,                0.00101,                0.00101,                0.00101
                    102,                0.96924,                 1.0673,                 1.0266,                0.64967,                0.51562,                0.59111,                0.32266,                 1.8551,                 2.0084,                 1.7349,              0.0010001,              0.0010001,              0.0010001
                    103,                0.92321,                 1.0483,                  1.019,                0.64967,                0.51562,                0.59111,                0.32266,                 1.8551,                 2.0084,                 1.7349,              0.0009902,              0.0009902,              0.0009902
                    104,                0.98295,                 1.1376,                 1.0623,                  0.758,                 0.4895,                0.61245,                0.32237,                 1.7973,                 1.9624,                 1.6791,              0.0009803,              0.0009803,              0.0009803
                    105,                0.87949,                 0.9432,                 1.0658,                  0.758,                 0.4895,                0.61245,                0.32237,                 1.7973,                 1.9624,                 1.6791,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.0301,                  1.101,                 1.1258,                0.75653,                 0.5625,                0.62301,                0.31903,                 1.7944,                 1.7531,                 1.6399,              0.0009605,              0.0009605,              0.0009605
                    107,                0.86357,                 0.8932,                 1.0201,                0.75653,                 0.5625,                0.62301,                0.31903,                 1.7944,                 1.7531,                 1.6399,              0.0009506,              0.0009506,              0.0009506
                    108,                  1.048,                 1.0207,                 1.0618,                0.76847,                    0.5,                0.60525,                 0.3226,                 1.7741,                  1.724,                 1.6162,              0.0009407,              0.0009407,              0.0009407
